word,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,非零平均排位,非零个数,综合评分,均值归一,个数归一,rate,0.7,,
process,0.051969758,0.069811221,0.044709801,0.049730137,0.013379311,0.085983888,0.040601543,0.056132173,0.034000272,0.035069632,0.04039886,0.045247588,0.047252849,12,0.387467366,0.12495338,1,0,,,
experience,0.048845196,0.039392389,0.029144167,0.069345913,0.004554659,0.053656612,0.047302769,0.020555444,0.064104679,0.067070671,0.042963867,0.049489549,0.044702159,12,0.38265298,0.118075685,1,0,,,
self,0.05936668,0.054753899,0.006954858,0.014642763,0.029889949,0.04532484,0.100518383,0.056132173,0.057375459,0.064878819,0.007053769,0.035349678,0.044353439,12,0.381994775,0.117135393,1,0,,,
university,0.038770077,0.032243963,0.033780739,0.067135685,0.00967865,0.032660546,0.037053835,0.054946282,0.026562712,0.06619393,0.071178943,0.048782556,0.043248993,12,0.379910151,0.114157358,1,0,,,
base,0.051459625,0.065552585,0.048684006,0.046967351,0.043838592,0.046324653,0.035871266,0.051388609,0.024437695,0.019726668,0.052582643,0.023330788,0.042513707,12,0.378522309,0.112174727,1,0,,,
factor,0.046358299,0.037567259,0.007782817,0.012985091,0.142617757,0.045991382,0.056763322,0.040320293,0.04958373,0.03287778,0.006412517,0.02969373,0.042412831,12,0.378331908,0.111902726,1,0,,,
activity,0.058473948,0.071180069,0.015731226,0.052492922,0.003131328,0.050657174,0.041784112,0.051388609,0.040729492,0.047344003,0.017313797,0.049489549,0.041643019,12,0.3768789,0.109827,1,0,,,
control,0.037941112,0.027529044,0.05977866,0.074042648,0.023627293,0.0263284,0.036659646,0.04466856,0.008854237,0.019288297,0.131456607,0.007776929,0.041495953,12,0.376601314,0.109430449,1,0,,,
learner,0.073905459,0.119393919,0.010266695,0.013537648,0.000284666,0.095982014,0.076866999,0.020555444,0.008145898,0.041645188,0.004488762,0.028279743,0.041112703,12,0.375877936,0.108397051,1,0,,,
teaching,0.038961377,0.02920208,0.032787187,0.042823173,0.002846662,0.021329336,0.03035261,0.081826477,0.031166916,0.042521928,0.049376384,0.089788183,0.041081859,12,0.375819719,0.108313885,1,0,,,
practice,0.041065674,0.044107308,0.015731226,0.022378562,0.013948643,0.062988197,0.034294507,0.01976485,0.059854645,0.041645188,0.019878804,0.107463022,0.040260052,12,0.374268571,0.106097958,1,0,,,
different,0.060131879,0.047605473,0.040073229,0.03785016,0.046115921,0.035326713,0.044543441,0.047435639,0.025500204,0.030685928,0.042963867,0.023330788,0.04013027,12,0.374023609,0.105748013,1,0,,,
program,0.032265886,0.031483492,0.047524863,0.089514246,0.015371974,0.032993817,0.063070358,0.023717819,0.054187933,0.040768447,0.046170125,0.002827974,0.039991411,12,0.373761515,0.105373594,1,0,,,
assessment,0.051140792,0.048974321,0.015400043,0.045862237,0.05664857,0.047991007,0.058734271,0.020555444,0.031875255,0.027617335,0.017955049,0.040298633,0.038587746,12,0.37111212,0.101588742,1,0,,,
one,0.048717663,0.047757568,0.019043063,0.035087374,0.044977257,0.042991944,0.050062097,0.042692075,0.022666848,0.028055705,0.042322615,0.036056672,0.03836924,12,0.370699692,0.10099956,1,0,,,
performance,0.069569332,0.052928769,0.024507595,0.031772032,0.053517242,0.049657361,0.052427235,0.019369553,0.031166916,0.03287778,0.024367566,0.016260852,0.038201853,12,0.370383751,0.100548216,1,0,,,
item,0.019257505,0.012167533,0.002152694,0.003039064,0.33476743,0.010331397,0.008672174,0.033995541,0.015229288,0.01052089,0.001923755,0.000706994,0.037730356,12,0.369493808,0.099276868,1,0,,,
skill,0.049482861,0.036350505,0.012584981,0.046414794,0.008539985,0.046657923,0.04572601,0.062456925,0.059854645,0.016658075,0.031421335,0.033228697,0.037448062,12,0.368960982,0.098515689,1,0,,,
three,0.044381536,0.035894223,0.016393594,0.029838082,0.050101248,0.043325215,0.054792374,0.037553214,0.033646102,0.037699854,0.026932573,0.037470659,0.037335723,12,0.368748944,0.098212778,1,0,,,
